7zip 26.00-1
openjph 0.26.3-3
openlibm 0.8.7-1
openssh 10.2p1-2
openssl 3.6.1-1
openxr 1.1.57-1
opus 1.6.1-1
orc 0.4.42-1
ostree 2025.7-3
oxygen 6.6.3-1
oxygen-cursors 6.6.3-1
oxygen-icons 1:6.1.0-2
oxygen-sounds 6.6.3-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-1
pacman-mirrorlist 20260213-1
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.0-2
pangomm 2.46.4-1
parted 3.6-2
patch 2.8-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.1-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.2-2
pipewire 1:1.6.2-1
pipewire-alsa 1:1.6.2-1
pipewire-audio 1:1.6.2-1
pipewire-jack 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
pixman 0.46.4-1
pkgconf 2.5.1-1
pkgfile 25-2
plasma-activities 6.6.3-1
plasma-activities-stats 6.6.3-1
plasma-browser-integration 6.6.3-1
plasma-desktop 6.6.3-1
plasma-disks 6.6.3-1
plasma-firewall 6.6.3-1
plasma-integration 6.6.3-1
plasma-keyboard 6.6.3-1
plasma-login-manager 6.6.3-1
plasma-meta 6.6-1
plasma-nm 6.6.3-1
plasma-pa 6.6.3-1
plasma-systemmonitor 6.6.3-1
plasma-thunderbolt 6.6.3-1
plasma-vault 6.6.3-1
plasma-welcome 6.6.3-1
plasma-workspace 6.6.3-1
plasma-workspace-wallpapers 6.6.3-1
plasma5support 6.6.3-1
playerctl 2.4.1-5
polkit 127-3
polkit-kde-agent 6.6.3-1
polkit-qt6 0.200.0-1
poppler 26.03.0-1
poppler-glib 26.03.0-1
poppler-qt6 26.03.0-1
popt 1.19-2
portaudio 1:19.7.0-4
power-profiles-daemon 0.30-1
powerdevil 6.6.3-1
ppp 2.5.2-1
pps-tools 1.0.3-2
print-manager 1:6.6.3-1
prison 6.24.0-1
procps-ng 4.0.6-1
protobuf 33.1-4
protobuf-c 1.5.2-8
psmisc 23.7-1
pugixml 1.15-3
pulseaudio-qt 1.8.1-1
purpose 6.24.0-1
pyalpm 0.11.1-1
python 3.14.3-1
python-boolean.py 5.0-2
python-certifi 2026.02.25-1
python-dbus 1.4.0-2
python-gobject 3.54.5-2
python-jinja 1:3.1.6-3
python-license-expression 30.4.4-2
python-markupsafe 3.0.3-1
python-packaging 26.0-1
python-pillow 12.1.1-1
python-psutil 7.2.2-1
python-pyelftools 0.32-2
python-pygdbmi 0.11.0.0-6
python-pyqt6 6.10.2-3
python-pyqt6-sip 13.11.1-1
python-pyqt6-webengine 6.10.0-2
python-pyxdg 0.28-7
python-sentry_sdk 2.55.0-1
python-urllib3 2.6.3-1
python-yaml 6.0.3-2
qca-qt6 2.3.10-5
qcoro 0.13.0-1
qqc2-breeze-style 6.6.3-1
qqc2-desktop-style 6.24.0-1
qrencode 4.1.1-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt6-5compat 6.10.2-1
qt6-base 6.10.2-1
qt6-declarative 6.10.2-1
qt6-imageformats 6.10.2-1
qt6-location 6.10.2-1
qt6-multimedia 6.10.2-1
qt6-multimedia-ffmpeg 6.10.2-1
qt6-positioning 6.10.2-1
qt6-quick3d 6.10.2-1
qt6-quicktimeline 6.10.2-1
qt6-shadertools 6.10.2-1
qt6-speech 6.10.2-1
qt6-svg 6.10.2-1
qt6-tools 6.10.2-3
qt6-translations 6.10.2-1
qt6-virtualkeyboard 6.10.2-1
qt6-wayland 6.10.2-1
qt6-webchannel 6.10.2-1
qt6-webengine 6.10.2-1
qt6-websockets 6.10.2-1
qt6-webview 6.10.2-1
qtkeychain-qt6 0.15.0-4
qutebrowser 3.6.3-2
ranger 1.9.4-5
rav1e 0.8.1-2
re2 2:2025.11.05-1
readline 8.3.003-1
resvg 0.47.0-2
ripgrep 15.1.0-2
ripgrep-all 0.10.10-1
rofi 2.0.0-1
rtkit 0.14-1
rubberband 4.0.0-1
sbc 2.2-1
sdbus-cpp 2.2.1-1
sddm 0.21.0-6
sdl2-compat 2.32.64-1
sdl3 3.4.2-1
sdl3_ttf 3.2.2-3
seatd 0.9.3-1
sed 4.9-3
serd 0.32.8-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
signon-kwallet-extension 25.12.3-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
slang 2.3.3-4
slurp 1.5.0-1
smartmontools 7.5-1
smbclient 2:4.24.0-1
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.1-1
sof-firmware 2025.12.2-1
solid 6.24.0-1
sonnet 6.24.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-16
spandsp 0.0.6-7
spdlog 1.17.0-2
spectacle 1:6.6.3-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.341.0-2
sqlite 3.52.0-1
sratom 0.6.22-1
srt 1.5.4-1
startup-notification 0.12-9
sudo 1.9.17.p2-2
suitesparse 7.12.2-1
svt-av1 4.0.1-1
swww 0.11.2-1
syndication 6.24.0-1
syntax-highlighting 6.24.0-1
systemd 260-1
systemd-libs 260-1
systemd-sysvcompat 260-1
systemsettings 6.6.3-1
taglib 2.2.1-1
talloc 2.4.4-1
tar 1.35-2
tdb 1.4.15-1
tevent 1:0.17.1-2
texinfo 7.3-1
tinysparql 3.10.1-2
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tree-sitter 0.25.10-3
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.5.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.8.1-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-hack 3.003-7
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
tzdata 2026a-1
udisks2 2.11.1-2
unibilium 2.1.2-1
upower 1.91.1-1
util-linux 2.41.3-2
util-linux-libs 2.41.3-2
uwsm 0.26.4-1
v4l-utils 1.32.0-2
vapoursynth 73-2
verdict 1.4.4-1
vid.stab 1.1.1-2
vim 9.2.0204-2
vim-runtime 9.2.0204-2
vmaf 3.0.0-2
volume_key 0.3.12-12
vulkan-icd-loader 1.4.341.0-1
